Plant Name,Flowering,Fruiting,Flowering Season,Fruiting Season,Soil Nutrient,Leaf Color,Flowering Months,Fruiting Months,Height Based on Season (cm)
Rose,Yes,No,Spring-Summer,N/A,Rich in Phosphorus & Potassium,Dark Green,March-May,N/A,30-90 (Spring) | 50-120 (Summer)
Tulip,Yes,No,Spring,N/A,Well-Drained,Green,March-April,N/A,20-60 (Spring)
Cactus,Yes,Yes,Spring-Summer,Summer-Fall,Sandy & Low-Nutrient,Thick Green,March-June,July-September,50-200 (Spring) | 100-300 (Summer)
Orchid,Yes,No,Spring-Summer,N/A,High Organic Matter,Light Green,March-June,N/A,30-80 (Spring) | 40-100 (Summer)
Bamboo,No,No,N/A,N/A,Nitrogen-Rich,Deep Green,N/A,N/A,100-500 (All Year)
Lavender,Yes,No,Summer,N/A,Alkaline & Well-Drained,Silvery Green,June-August,N/A,30-90 (Summer)
Sunflower,Yes,Yes,Summer,Late Summer-Fall,Nitrogen & Phosphorus,Deep Green,June-August,August-October,50-300 (Summer) | 100-350 (Fall)
Aloe Vera,Yes,No,Spring-Summer,N/A,Sandy & Well-Drained,Thick Green,March-June,N/A,20-50 (Spring) | 30-70 (Summer)
Fern,No,No,N/A,N/A,Moist & Rich,Light Green,N/A,N/A,30-100 (All Year)
Money Plant,No,No,N/A,N/A,Well-Drained,Glossy Green,N/A,N/A,50-150 (All Year)
Basil,Yes,Yes,Summer,Late Summer-Fall,Nitrogen-Rich,Bright Green,June-August,August-October,30-70 (Summer) | 40-90 (Fall)
Snake Plant,No,No,N/A,N/A,Low Nutrient,Dark Green with Yellow Edges,N/A,N/A,50-150 (All Year)
Pothos,No,No,N/A,N/A,Moderate Nutrient,Green & Yellow Variegation,N/A,N/A,50-200 (All Year)
Jasmine,Yes,No,Summer,N/A,Rich in Phosphorus,Glossy Green,June-August,N/A,50-200 (Summer)
Palm,No,Yes,N/A,All Year,Sandy & Well-Drained,Dark Green,N/A,All Year,100-500 (All Year)
Spider Plant,Yes,No,Spring-Summer,N/A,Moderate Nutrient,Green with White Stripes,March-June,N/A,20-50 (Spring) | 30-70 (Summer)
Peperomia,No,No,N/A,N/A,Low Nutrient,Dark Green,N/A,N/A,20-50 (All Year)
Rubber Plant,No,No,N/A,N/A,Nitrogen-Rich,Shiny Deep Green,N/A,N/A,50-300 (All Year)
Philodendron,No,No,N/A,N/A,Moderate Nutrient,Dark Green,N/A,N/A,50-200 (All Year)
Succulent,Yes,No,Spring,N/A,Sandy & Well-Drained,Thick Green,March-April,N/A,10-50 (Spring)
Croton,No,No,N/A,N/A,Rich in Nutrients,"Multi-Colored (Red,Yellow,Green)",N/A,N/A,50-150 (All Year)
ZZ Plant,No,No,N/A,N/A,Low Nutrient,Glossy Dark Green,N/A,N/A,40-120 (All Year)
Dracaena,No,No,N/A,N/A,Well-Drained,Green with Yellow Stripes,N/A,N/A,50-250 (All Year)
Begonia,Yes,No,Spring-Summer,N/A,Rich in Organic Matter,Deep Green,March-June,N/A,20-60 (Spring) | 30-90 (Summer)
Hydrangea,Yes,No,Summer,N/A,Acidic & Well-Drained,Dark Green,June-August,N/A,50-200 (Summer)
Fiddle Leaf Fig,No,No,N/A,N/A,Nitrogen-Rich,Large Dark Green Leaves,N/A,N/A,50-300 (All Year)
Peace Lily,Yes,No,Spring-Summer,N/A,Moist & Well-Drained,Dark Green,March-June,N/A,30-80 (Spring) | 50-120 (Summer)
Chrysanthemum,Yes,No,Fall,N/A,Rich in Phosphorus,Bright Green,September-November,N/A,30-100 (Fall)
Pineapple,No,Yes,N/A,Summer-Fall,Sandy & Well-Drained,Thick Green,N/A,July-September,80-150 (Summer) | 100-200 (Fall)
Daisy,Yes,No,Spring-Summer,N/A,Moderate Nutrient,Light Green,March-June,N/A,20-60 (Spring) | 30-80 (Summer)
